Slice	time	Mean
288	38.4	2.0
289	38.53333333333333	6.0
290	38.666666666666664	7.0
291	38.8	6.0
292	38.93333333333333	2.0
293	39.06666666666667	3.5
294	39.2	6.5
295	39.333333333333336	4.5
296	39.46666666666667	4.5
297	39.6	5.0
298	39.733333333333334	6.0
299	39.86666666666667	4.5
300	40.0	4.0
301	40.13333333333333	5.0
302	40.266666666666666	3.5
303	40.4	6.0
304	40.53333333333333	7.0
305	40.666666666666664	8.5
306	40.8	18.0
307	40.93333333333333	23.5
308	41.06666666666667	30.5
309	41.2	29.5
310	41.333333333333336	17.5
311	41.46666666666667	14.5
312	41.6	14.5
313	41.733333333333334	9.5
314	41.86666666666667	9.0
315	42.0	8.0
316	42.13333333333333	8.0
317	42.266666666666666	8.0
318	42.4	8.0
319	42.53333333333333	6.0
320	42.666666666666664	8.0
321	42.8	6.5
322	42.93333333333333	7.5
323	43.06666666666667	6.0
324	43.2	8.0
325	43.333333333333336	6.5
326	43.46666666666667	4.0
327	43.6	4.0
328	43.733333333333334	5.5
329	43.86666666666667	6.0
330	44.0	6.0
331	44.13333333333333	6.0
332	44.266666666666666	4.0
333	44.4	6.0
334	44.53333333333333	6.0
335	44.666666666666664	6.0
336	44.8	7.5
337	44.93333333333333	2.0
338	45.06666666666667	4.0
339	45.2	7.0
340	45.333333333333336	4.0
341	45.46666666666667	4.0
342	45.6	6.0
343	45.733333333333334	6.0
344	45.86666666666667	4.0
345	46.0	4.0
346	46.13333333333333	4.0
347	46.266666666666666	6.0
348	46.4	4.0
349	46.53333333333333	4.0
350	46.666666666666664	4.0
351	46.8	4.0
352	46.93333333333333	6.5
353	47.06666666666667	6.0
354	47.2	9.0
355	47.333333333333336	26.5
356	47.46666666666667	31.5
357	47.6	33.5
358	47.733333333333334	30.0
359	47.86666666666667	19.5
360	48.0	15.5
361	48.13333333333333	10.0
362	48.266666666666666	12.5
363	48.4	8.5
364	48.53333333333333	8.0
365	48.666666666666664	8.0
366	48.8	8.0
367	48.93333333333333	8.0
368	49.06666666666667	6.0
369	49.2	8.0
370	49.333333333333336	3.5
371	49.46666666666667	4.0
372	49.6	6.0
373	49.733333333333334	4.0
374	49.86666666666667	4.5
375	50.0	4.0
376	50.13333333333333	4.0
377	50.266666666666666	5.5
378	50.4	6.0
379	50.53333333333333	6.0
380	50.666666666666664	5.0
381	50.8	6.5
382	50.93333333333333	6.5
383	51.06666666666667	6.0
